Project,Function,CYCLE,LATENCY,BRAM,DSP,FF,LUT,BRAM_Utilization,LUT_Utilization,FF_Utilization,DSP_Utilization
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN2_UFCOU2_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,206884,2.069 ms,58,20,10793,17992,3.179824561403509,6.56,1.9689506713368359,0.79
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN2_UFCOU4_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,139300,1.393 ms,62,36,10895,18895,3.399122807017544,6.89,1.9875583771161707,1.43
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN2_UFCOU16_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,88612,0.886 ms,102,132,11475,24599,5.592105263157895,8.98,2.0933669001751314,5.24
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN4_UFCOU2_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,204836,2.048 ms,62,36,11045,18779,3.399122807017544,6.85,2.0149226503210738,1.43
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN4_UFCOU4_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,137252,1.373 ms,70,68,11187,20290,3.8377192982456143,7.4,2.0408274956217163,2.7
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN4_UFCOU16_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,86564,0.866 ms,70,260,14015,30154,3.8377192982456143,11.0,2.5567352597781667,10.32
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN16_UFCOU2_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,203300,2.033 ms,86,132,12517,23441,4.714912280701754,8.55,2.2834573847051955,5.24
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN16_UFCOU4_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,135716,1.357 ms,54,260,14947,28980,2.9605263157894735,10.57,2.726758610624635,10.32
config_CIN32_HIN14_WIN14_COUT32_K1_UFCIN16_UFCOU16_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,85028,0.850 ms,70,1028,23071,59428,3.8377192982456143,21.68,4.208807647402218,40.79
config_CIN32_HIN14_WIN14_COUT32_K3_UFCIN2_UFCOU2_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,1202184,12.022 ms,86,20,10817,18742,4.714912280701754,6.84,1.9733289550496205,0.79
config_CIN32_HIN14_WIN14_COUT32_K3_UFCIN2_UFCOU4_PAD1_STRIDE1_BIASTrue_conv2d_ACTIVATIONrelu_ap_fixed_32_10_,Overall,749032,7.490 ms,86,36,10919,19621,4.714912280701754,7.16,1.991936660828955,1.43
