Project,Function,CYCLE,LATENCY,BRAM,DSP,FF,LUT,BRAM_Utilization,LUT_Utilization,FF_Utilization,DSP_Utilization
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_1_1,Overall,22426,0.224 ms,38,94,257954,215319,2.083333333333333,78.56,47.058158201984824,3.73
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_1_4,Overall,20573,0.206 ms,57,162,257988,217226,3.125,79.26,47.064360770577935,6.43
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_1_8,Overall,19998,0.200 ms,85,242,258920,220948,4.660087719298246,80.61,47.2343841214244,9.6
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_4_1,Overall,21756,0.218 ms,62,178,260245,217569,3.399122807017544,79.38,47.476101868067715,7.06
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_4_4,Overall,19105,0.191 ms,74,282,261082,220754,4.057017543859649,80.54,47.62879451255108,11.19
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_4_8,Overall,18785,0.188 ms,98,410,263021,225613,5.37280701754386,82.32,47.98252335084647,16.27
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_8_1,Overall,21467,0.215 ms,94,290,263325,221175,5.1535087719298245,80.7,48.03798161120841,11.51
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_8_4,Overall,19327,0.193 ms,102,442,265399,225635,5.592105263157895,82.32,48.41633829538821,17.54
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__1_8_8,Overall,18975,0.190 ms,126,634,268853,232375,6.907894736842106,84.78,49.04644629305312,25.16
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__4_1_1,Overall,19355,0.194 ms,50,130,258428,216465,2.7412280701754383,78.98,47.14462930531232,5.16
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__4_1_4,Overall,17757,0.178 ms,48,306,260730,221907,2.631578947368421,80.96,47.56457968476357,12.14
ATTN_config_16_16_1_16_1_rms_norm_True_DROPTrue_0.1_ap_fixed_32_10__4_1_8,Overall,17182,0.172 ms,64,530,264403,229862,3.508771929824561,83.87,48.23463952130765,21.03
